"gene","trait","GS","pVal","moduleMembership","degree","module","hubGeneSignificance","moduleSignificance"
"APOL3.80833","ips_ctla4_neg_pd1_pos",0.256665292774968,3.23124432438222e-48,0.808278366745241,259.860724150128,"turquoise",0.000298748911030033,0.0235067430378848
"CD247.919","ips_ctla4_neg_pd1_pos",0.259885197613983,1.00064825218885e-48,0.837322576824586,291.728704470439,"turquoise",0.000298748911030033,0.0235067430378848
"CD2.914","ips_ctla4_neg_pd1_pos",0.24792661917214,7.71661595787935e-47,0.895956341187886,340.147574747338,"turquoise",0.000298748911030033,0.0235067430378848
"CD3D.915","ips_ctla4_neg_pd1_pos",0.255271733441024,5.36379905846783e-48,0.873281904349343,319.864601958931,"turquoise",0.000298748911030033,0.0235067430378848
"CD3E.916","ips_ctla4_neg_pd1_pos",0.23847368590256,2.35956549622048e-45,0.897799669967419,347.830887338318,"turquoise",0.000298748911030033,0.0235067430378848
"CXCR3.2833","ips_ctla4_neg_pd1_pos",0.210907290277073,4.80124968150368e-41,0.840199496760835,299.497167440571,"turquoise",0.000298748911030033,0.0235067430378848
"CXCR6.10663","ips_ctla4_neg_pd1_pos",0.232582910247294,1.97734858644787e-44,0.839770064260199,291.270883156643,"turquoise",0.000298748911030033,0.0235067430378848
"IL12RB1.3594","ips_ctla4_neg_pd1_pos",0.200020965975442,2.38312016742136e-39,0.895794413049767,338.15133759754,"turquoise",0.000298748911030033,0.0235067430378848
"ITK.3702","ips_ctla4_neg_pd1_pos",0.21099456455986,4.65319866023611e-41,0.883520348058539,329.409287320513,"turquoise",0.000298748911030033,0.0235067430378848
"NKG7.4818","ips_ctla4_neg_pd1_pos",0.238435774187823,2.39210047633196e-45,0.803770017279253,267.002994997888,"turquoise",0.000298748911030033,0.0235067430378848
"SH2D1A.4068","ips_ctla4_neg_pd1_pos",0.215294871114921,9.93771820370811e-42,0.805380593722886,262.319909594286,"turquoise",0.000298748911030033,0.0235067430378848
"SIRPG.55423","ips_ctla4_neg_pd1_pos",0.251483967959624,2.12350294781531e-47,0.807361271952829,276.038909182264,"turquoise",0.000298748911030033,0.0235067430378848
"SLA2.84174","ips_ctla4_neg_pd1_pos",0.282097554671579,2.92342468928993e-52,0.813688720214713,272.51106543002,"turquoise",0.000298748911030033,0.0235067430378848
"ACAP1.9744","ips_ctla4_pos_pd1_pos",0.246190899301244,1.44730779951399e-46,0.830394682101615,294.020109045957,"turquoise",0.000298748911030033,0.0332904291590248
"APOL3.80833","ips_ctla4_pos_pd1_pos",0.323031112815411,6.66177151746492e-59,0.808278366745241,259.860724150128,"turquoise",0.000298748911030033,0.0332904291590248
"ARHGAP9.64333","ips_ctla4_pos_pd1_pos",0.214118822518241,1.51596577513611e-41,0.851867217025491,301.363061108055,"turquoise",0.000298748911030033,0.0332904291590248
"CCL4.6351","ips_ctla4_pos_pd1_pos",0.208395640095015,1.18238624540043e-40,0.810979272465158,268.9764337595,"turquoise",0.000298748911030033,0.0332904291590248
"CCR5.1234","ips_ctla4_pos_pd1_pos",0.218524238220515,3.11516604762156e-42,0.897734946292316,349.070597461704,"turquoise",0.000298748911030033,0.0332904291590248
"CD247.919","ips_ctla4_pos_pd1_pos",0.349799607985466,2.31839596608254e-63,0.837322576824586,291.728704470439,"turquoise",0.000298748911030033,0.0332904291590248
"CD2.914","ips_ctla4_pos_pd1_pos",0.352398860655593,8.44596013021605e-64,0.895956341187886,340.147574747338,"turquoise",0.000298748911030033,0.0332904291590248
"CD3D.915","ips_ctla4_pos_pd1_pos",0.371789253161129,4.17471061096342e-67,0.873281904349343,319.864601958931,"turquoise",0.000298748911030033,0.0332904291590248
"CD3E.916","ips_ctla4_pos_pd1_pos",0.347143837254235,6.48908785848549e-63,0.897799669967419,347.830887338318,"turquoise",0.000298748911030033,0.0332904291590248
"CD5.921","ips_ctla4_pos_pd1_pos",0.231376377751654,3.05476557512415e-44,0.85360719874397,309.638599018582,"turquoise",0.000298748911030033,0.0332904291590248
"CD6.923","ips_ctla4_pos_pd1_pos",0.216889370785723,5.60491810528284e-42,0.808091180354304,266.759832770443,"turquoise",0.000298748911030033,0.0332904291590248
"CD96.10225","ips_ctla4_pos_pd1_pos",0.269555773158851,2.9281074853728e-50,0.828814456399025,280.89316978283,"turquoise",0.000298748911030033,0.0332904291590248
"CORO1A.11151","ips_ctla4_pos_pd1_pos",0.230053073483547,4.92130159530728e-44,0.895091106347063,350.006219190221,"turquoise",0.000298748911030033,0.0332904291590248
"CST7.8530","ips_ctla4_pos_pd1_pos",0.241138697712492,9.00676688026612e-46,0.87580892581905,317.202513003062,"turquoise",0.000298748911030033,0.0332904291590248
"CXCR3.2833","ips_ctla4_pos_pd1_pos",0.293443371737407,4.3979762363819e-54,0.840199496760835,299.497167440571,"turquoise",0.000298748911030033,0.0332904291590248
"CXCR6.10663","ips_ctla4_pos_pd1_pos",0.32509896642661,3.03903452873225e-59,0.839770064260199,291.270883156643,"turquoise",0.000298748911030033,0.0332904291590248
"GIMAP2.26157","ips_ctla4_pos_pd1_pos",0.210680003377692,5.20929341538794e-41,0.843860039053001,275.764592531516,"turquoise",0.000298748911030033,0.0332904291590248
"GIMAP5.55340","ips_ctla4_pos_pd1_pos",0.216718615546669,5.95947190990916e-42,0.914836932448089,365.229341693457,"turquoise",0.000298748911030033,0.0332904291590248
"GIMAP7.168537","ips_ctla4_pos_pd1_pos",0.204272267066198,5.189163331453e-40,0.902407171500331,349.412445470777,"turquoise",0.000298748911030033,0.0332904291590248
