"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","immune response-regulating cell surface receptor signaling pathway","GO:0002768","0.044606299651538825","1.3506038024829428","503","43","8","17816","CD247,CD3D,CD3E,ITK,SLA2,LCK,PTPN22,UBASH3A"
"GO:BP","positive regulation of leukocyte proliferation","GO:0070665","0.04497790157449196","1.3470008102582671","143","43","5","17816","CD3E,IL12RB1,CD6,CORO1A,PTPN22"
"GO:CC","side of membrane","GO:0098552","2.1949467411814937e-7","6.658576013140131","583","46","13","18797","CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,CCR5,CD5,CD6,ICOS,IL2RB,LCK,PTPN22"
"GO:CC","external side of plasma membrane","GO:0009897","4.384199399767929e-7","6.358109701729534","387","46","11","18797","CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,CCR5,CD5,CD6,ICOS,IL2RB"
"GO:CC","plasma membrane part","GO:0044459","0.0000016243960006553153","5.789308088435551","2879","46","24","18797","CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,NKG7,CCR5,CD5,CD6,CD96,CORO1A,GPR174,ICOS,IL2RB,ITGAL,ITGB7,LCK,P2RY10,PTPN22,RHOH,SIT1,TBC1D10C"
"GO:CC","cell surface","GO:0009986","0.0000036745375265471288","5.434797312989975","887","46","14","18797","CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,CCR5,CD5,CD6,ICOS,IL2RB,ITGAL,ITGB7,SLAMF1"
"GO:CC","plasma membrane receptor complex","GO:0098802","0.000004718711715416225","5.326176554597794","191","46","8","18797","CD247,CD3D,CD3E,IL12RB1,CD6,IL2RB,ITGAL,ITGB7"
"GO:CC","immunological synapse","GO:0001772","0.000007395379070653121","5.131039560129078","37","46","5","18797","CD3E,CD6,CORO1A,LCK,RHOH"
"GO:CC","T cell receptor complex","GO:0042101","0.000018710566452372735","4.727913064268251","17","46","4","18797","CD247,CD3D,CD3E,CD6"
"GO:CC","integral component of plasma membrane","GO:0005887","0.000032833824990226","4.483678521005499","1633","46","17","18797","CD2,CD3E,CXCR3,CXCR6,IL12RB1,NKG7,CCR5,CD5,CD6,CD96,GPR174,ICOS,IL2RB,ITGAL,ITGB7,P2RY10,SIT1"
"GO:CC","alpha-beta T cell receptor complex","GO:0042105","0.000035048578232961106","4.455329594761611","5","46","3","18797","CD247,CD3D,CD3E"
"GO:CC","intrinsic component of plasma membrane","GO:0031226","0.00006496911883957134","4.187293023425595","1712","46","17","18797","CD2,CD3E,CXCR3,CXCR6,IL12RB1,NKG7,CCR5,CD5,CD6,CD96,GPR174,ICOS,IL2RB,ITGAL,ITGB7,P2RY10,SIT1"
"GO:CC","plasma membrane","GO:0005886","0.00014053066610770647","3.8522288952027743","5539","46","30","18797","CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,NKG7,SIRPG,SLA2,CCR5,CD5,CD6,CD96,CORO1A,GPR174,ICOS,IL21R,IL2RB,ITGAL,ITGB7,LCK,P2RY10,PTPN22,PTPRCAP,RHOH,SIT1,SLAMF1,SLAMF6,TBC1D10C"
