"","x"
"318","DGCR8"
"319","DGKD"
"320","DGKQ"
"321","DHRSX"
"322","DHX37"
"323","DIAPH1"
"324","DIDO1"
"325","DIP2A"
"326","DKFZP586I1420"
"327","DLEU2L"
"328","DMPK"
"329","DMTF1"
"330","DNAH1"
"331","DNAJC5"
"332","DNASE1L2"
"333","DND1"
"334","DNHD1"
"335","DOC2A"
"336","DOM3Z"
"337","DOPEY1"
"338","DPRXP4"
"339","DRD4"
"340","DSEL"
"341","DUS1L"
"342","DYRK2"
"343","EAF1"
"344","ECHDC2"
"345","EDIL3"
"346","EGFL8"
"347","ELMOD2"
"348","ELMOD3"
"349","EME2"
"350","ENGASE"
"351","ENO3"
"352","ENOSF1"
"353","EP400NL"
"354","EPHA3"
"355","EPS8L2"
"356","ERLEC1"
"357","ESPNP"
"358","ETV1"
"359","EWSR1"
"360","EXD3"
"361","EXOC4"
"362","EXOC7"
"363","EXT2"
"364","EZH1"
"365","F8"
"366","FAM106A"
"367","FAM106C"
"368","FAM113A"
"369","FAM114A1"
"370","FAM118A"
"371","FAM118B"
"372","FAM13AOS"
"373","FAM156A"
"374","FAM157A"
"375","FAM157B"
"376","FAM160A2"
"377","FAM160B2"
"378","FAM178A"
"379","FAM186A"
"380","FAM193A"
"381","FAM193B"
"382","FAM19A2"
"383","FAM24B"
"384","FAM45B"
"385","FAM48A"
"386","FAM50A"
"387","FAM71F2"
"388","FAM73B"
"389","FAM95B1"
"390","FARS2"
"391","FASTK"
"392","FBF1"
"393","FBRSL1"
"394","FBXL5"
"395","FBXL8"
"396","FBXO44"
"397","FBXO8"
"398","FCHSD1"
"399","FDPSL2A"
"400","FER1L4"
"401","FEZ1"
"402","FGF17"
"403","FITM1"
"404","FLJ10213"
"405","FLJ10661"
"406","FLJ12825"
"407","FLJ13197"
"408","FLJ14107"
"409","FLJ33360"
"410","FLJ40292"
"411","FLJ42627"
"412","FLJ43663"
"413","FLJ45244"
"414","FLJ45340"
"415","FLJ45445"
"416","FNBP4"
"417","FNDC4"
"418","FOXK2"
"419","FRS3"
"420","FSCN2"
"421","FUS"
"422","FUT11"
"423","GABBR1"
"424","GABRE"
"425","GABRR2"
"426","GAPDHS"
"427","GCFC1"
"428","GCGR"
"429","GCNT7"
"430","GDI1"
"431","GGA1"
"432","GGA3"
"433","GHRLOS"
"434","GIGYF1"
"435","GIPR"
"436","GLUD2"
"437","GNB3"
"438","GNPDA2"
"439","GNRH1"
"440","GOLGA2B"
"441","GOLGA6A"
"442","GOLGA6B"
"443","GOLGA6L10"
"444","GOLGA6L5"
"445","GOLGA6L9"
"446","GOLGA8A"
"447","GOLGA8B"
"448","GOLGA9P"
"449","GPC2"
"450","GPR17"
"451","GPR85"
"452","GPRASP1"
"453","GPT"
"454","GRIN2C"
"455","GRIPAP1"
"456","GSDMB"
"457","GTPBP2"
"458","GTPBP5"
"459","GUCA1B"
"460","GUCY1B3"
"461","GUSBL1"
"462","GUSBP3"
"463","H1FX"
"464","H2AFY"
"465","HARS2"
"466","HBP1"
"467","HCG27"
"468","HCN3"
"469","HCRT"
"470","HDAC10"
"471","HDAC6"
"472","HDAC7"
"473","HEMK1"
"474","HERC1"
"475","HERC2P2"
"476","HERC2P4"
"477","HERC2"
"478","HEXDC"
"479","HEXIM1"
"480","HGFAC"
"481","HGS"
"482","HIP1R"
"483","HIST3H3"
"484","HLA"
"485","HMGN3"
"486","HMGXB3"
"487","HNRNPA0"
"488","HNRNPA2B1"
"489","HNRNPAB"
"490","HNRNPH1"
"491","HNRNPH3"
"492","HNRPDL"
"493","HOOK2"
"494","HOXA9"
"495","HP1BP3"
"496","HPX"
"497","HSD17B7P2"
"498","HSF4"
"499","HSFX2"
"500","HSPA13"
"501","HYMAI"
"502","IDUA"
"503","IFITM4P"
"504","IFT172"
"505","IGLL3"
"506","IGSF22"
"507","IKBKB"
"508","IK"
"509","IL10RB"
"510","IMPAD1"
"511","IMPG1"
"512","INE1"
"513","ING5"
"514","INHA"
"515","INO80B"
"516","INPPL1"
"517","INTS5"
"518","IP6K2"
"519","IPO11"
"520","IRGC"
"521","ITGB1BP2"
"522","ITIH4"
"523","JRK"
"524","KAT2A"
"525","KATNAL2"
"526","KBTBD4"
"527","KCNAB3"
"528","KCNIP2"
"529","KCNMB3"
"530","KCNQ1OT1"
"531","KCNV2"
"532","KCP"
"533","KCTD19"
"534","KCTD20"
"535","KCTD7"
"536","KDELR3"
"537","KDM3B"
"538","KDSR"
"539","KIAA0141"
"540","KIAA0195"
"541","KIAA0415"
"542","KIAA0467"
"543","KIAA0664P3"
"544","KIAA0895L"
"545","KIAA0907"
"546","KIAA0913"
"547","KIAA1407"
"548","KIAA1530"
"549","KIAA1683"
"550","KIAA1875"
"551","KIAA1984"
"552","KIFC2"
"553","KLC2"
"554","KLHL17"
"555","KLRA1"
"556","KPNA3"
