"","x"
"323","HYAL4"
"324","ICA1L"
"325","ICK"
"326","IER5L"
"327","IER5"
"328","IFFO2"
"329","IFI27L2"
"330","IFNA13"
"331","IFNA1"
"332","IFNE"
"333","IGF2BP3"
"334","IL11"
"335","IL17C"
"336","IL17RC"
"337","IL1A"
"338","IL1RAP"
"339","IL20RB"
"340","IL20"
"341","IL3"
"342","IL4R"
"343","ING3"
"344","INPP1"
"345","INPP4B"
"346","INPP5F"
"347","INSC"
"348","IRAK2"
"349","IRAK4"
"350","IRGM"
"351","IRX2"
"352","ITGA3"
"353","ITGB6"
"354","KCNC4"
"355","KCNE1L"
"356","KCNE3"
"357","KCNG3"
"358","KCNIP3"
"359","KCNJ15"
"360","KCNK10"
"361","KCNK6"
"362","KCNMB2"
"363","KCNN4"
"364","KCNS1"
"365","KCNS3"
"366","KDM2B"
"367","KIAA0100"
"368","KIAA1267"
"369","KIAA1609"
"370","KIAA1644"
"371","KIAA1671"
"372","KIF12"
"373","KIF1A"
"374","KIF21A"
"375","KIF5C"
"376","KIFC3"
"377","KIR3DP1"
"378","KLF10"
"379","KLF7"
"380","KLHDC8A"
"381","KLHL13"
"382","KLHL30"
"383","KLHL38"
"384","KLK5"
"385","KPNA7"
"386","KRT23"
"387","KRT77"
"388","KRT79"
"389","KRTAP11"
"390","KRTAP3"
"391","KSR2"
"392","L1CAM"
"393","LAMB3"
"394","LAMC2"
"395","LANCL1"
"396","LCLAT1"
"397","LDHAL6B"
"398","LEMD1"
"399","LEUTX"
"400","LGALS14"
"401","LGALS7B"
"402","LGALS7"
"403","LHFPL3"
"404","LHX1"
"405","LIPG"
"406","LMO4"
"407","LOC100126784"
"408","LOC100127888"
"409","LOC100130691"
"410","LOC100131726"
"411","LOC100132111"
"412","LOC255167"
"413","LOC283050"
"414","LOC285696"
"415","LOC388242"
"416","LOC389033"
"417","LOC400931"
"418","LOC554202"
"419","LOC643955"
"420","LOC728643"
"421","LOC730101"
"422","LOC84989"
"423","LONRF1"
"424","LRG1"
"425","LRIG1"
"426","LRRFIP1"
"427","LRTM2"
"428","LY6E"
"429","LYPD5"
"430","LYST"
"431","MAN2A2"
"432","MAP3K15"
"433","MAP7D1"
"434","MAST4"
"435","MATR3"
"436","MBD2"
"437","MCCC1"
"438","MDFI"
"439","ME3"
"440","MESDC1"
"441","MEST"
"442","METRN"
"443","MFSD10"
"444","MGAT4B"
"445","MICALCL"
"446","MIF4GD"
"447","MIXL1"
"448","MKRN1"
"449","MLLT3"
"450","MMP28"
"451","MOCOS"
"452","MORC3"
"453","MPPED1"
"454","MSI1"
"455","MT1E"
"456","MT1L"
"457","MT2A"
"458","MT3"
"459","MTMR11"
"460","MTNR1B"
"461","MTSS1"
"462","MUL1"
"463","MYB"
"464","MYEF2"
"465","MYEOV"
"466","MYH16"
"467","MYLIP"
"468","MYO5B"
"469","MYOM1"
"470","MYPN"
"471","MYST4"
"472","N4BP1"
"473","N4BP3"
"474","NAGS"
"475","NARF"
"476","NARS"
"477","NCAM1"
"478","NCOA1"
"479","NCRNA00112"
"480","NDFIP2"
"481","NEO1"
"482","NEURL"
"483","NEUROG3"
"484","NFASC"
"485","NFE2L2"
"486","NFKBIZ"
"487","NGFR"
"488","NGLY1"
"489","NHLH2"
"490","NIPAL2"
"491","NIPAL4"
"492","NLGN1"
"493","NLRP7"
"494","NME7"
"495","NOX5"
"496","NPL"
"497","NPNT"
"498","NPPC"
"499","NPR3"
"500","NPY5R"
"501","NR1D2"
"502","NRN1"
"503","NRXN1"
"504","NRXN3"
"505","NT5E"
"506","NTSR1"
"507","NTS"
"508","NUAK2"
"509","NXN"
"510","OAZ3"
"511","OBFC2A"
"512","OCIAD2"
"513","OLFM4"
"514","OR10AG1"
"515","OR5AP2"
"516","OSBPL3"
"517","OTOS"
"518","OTX1"
"519","OXGR1"
"520","P2RX6"
"521","P2RY2"
"522","PADI4"
"523","PALMD"
"524","PCBP2"
"525","PCDH19"
"526","PCDHA12"
"527","PCDHA13"
"528","PCDHGB2"
"529","PCDHGC5"
"530","PCSK2"
"531","PDCL2"
"532","PDE3B"
"533","PDGFA"
"534","PDLIM1"
"535","PDP1"
"536","PDXK"
"537","PDZD7"
"538","PDZK1IP1"
"539","PEAR1"
"540","PEBP1"
"541","PECI"
"542","PELI1"
"543","PGA3"
"544","PGA4"
"545","PGA5"
"546","PGAM1"
"547","PHF8"
"548","PHKA1"
"549","PHLDA2"
"550","PHLDA3"
"551","PIAS2"
"552","PIGG"
"553","PIK3C3"
"554","PIP4K2B"
"555","PIP5K1B"
"556","PITPNM1"
"557","PLA2G2F"
"558","PLA2G3"
"559","PLAC8"
"560","PLAU"
"561","PLB1"
"562","PLCD3"
"563","PLCH1"
"564","PLEK2"
"565","PLEKHA6"
"566","PLEKHF1"
"567","PLK1S1"
"568","PLK2"
"569","PLK3"
"570","PLXNA2"
"571","PMVK"
"572","POMC"
"573","PORCN"
"574","POU3F1"
"575","PPFIBP2"
"576","PPM1B"
"577","PPM1D"
"578","PPM1E"
"579","PPP1R13L"
"580","PPP2R2D"
"581","PPP2R5B"
"582","PPP4R4"
"583","PRAME"
"584","PREPL"
"585","PROC"
"586","PROM2"
"587","PRSS22"
"588","PRTN3"
"589","PSD4"
"590","PSG10"
"591","PSG2"
"592","PSG3"
"593","PSG4"
"594","PSG5"
"595","PSIP1"
"596","PTCHD2"
"597","PTCHD3"
"598","PTGES"
"599","PTK6"
"600","PTN"
"601","PTPRH"
"602","PTPRR"
"603","PTPRU"
"604","PVR"
"605","PXN"
"606","PYCR1"
"607","RAB22A"
"608","RAB27B"
"609","RAB40B"
"610","RAB43"
"611","RAET1E"
"612","RAPGEF3"
"613","RAPGEF4"
"614","RASGEF1A"
"615","RASSF10"
"616","RASSF9"
"617","RB1CC1"
"618","RBP1"
"619","REEP2"
"620","REG1A"
"621","REPIN1"
"622","RGS14"
"623","RHBDL2"
"624","RHOC"
"625","RHOD"
"626","RIMS3"
"627","RIMS4"
"628","RIN1"
"629","RMND5A"
"630","RNASE7"
"631","RND3"
"632","RNF19B"
"633","RP1L1"
"634","RPH3A"
"635","RPIA"
"636","RPL17"
"637","RPL31"
"638","RPL41"
"639","RPS4X"
"640","RPS6KA1"
"641","RPS6KA3"
"642","RPS6KA4"
"643","RPSAP52"
"644","RRAGD"
"645","RRAS"
"646","RSPO4"
"647","S100A10"
"648","S100A13"
"649","S100A2"
"650","S100A3"
"651","S100A7A"
"652","S100A7"
"653","S100A8"
"654","S100A9"
"655","SAMD4A"
"656","SCCPDH"
"657","SCML2"
"658","SCUBE3"
"659","SEC14L2"
"660","SEC16B"
"661","SEC24C"
"662","SEMA3A"
"663","SEMA4A"
"664","SEPW1"
"665","SERINC2"
"666","SERPINA13"
"667","SERPINA3"
"668","SERPINB1"
"669","SERPINB4"
"670","SERPINB7"
"671","SERPINI1"
"672","SEZ6"
"673","SFT2D3"
"674","SH2D7"
"675","SH3TC1"
"676","SHANK2"
"677","SHB"
"678","SHC1"
"679","SHROOM1"
"680","SLAIN1"
"681","SLC10A6"
"682","SLC11A2"
"683","SLC16A14"
"684","SLC17A1"
"685","SLC22A15"
"686","SLC22A18AS"
"687","SLC25A23"
"688","SLC27A2"
"689","SLC2A9"
"690","SLC35B3"
"691","SLC35D1"
"692","SLC35F2"
"693","SLC37A2"
"694","SLC39A11"
"695","SLC39A6"
"696","SLC4A11"
"697","SLC4A7"
"698","SLC6A11"
"699","SLC6A2"
"700","SLC9A3R1"
"701","SLC9A4"
"702","SLC9A9"
"703","SLCO4A1"
"704","SLCO4C1"
"705","SLITRK4"
"706","SMAD2"
"707","SMAD5"
"708","SMARCC1"
"709","SNAP91"
"710","SNAPC3"
"711","SNCG"
"712","SNN"
"713","SNORD115"
"714","SNRNP27"
"715","SORCS3"
"716","SOS1"
"717","SOX21"
"718","SOX7"
"719","SPATA1"
"720","SPINK4"
"721","SPINK6"
"722","SPOCD1"
"723","SPOP"
"724","SPTLC2"
"725","SSH3"
"726","ST6GAL2"
"727","STEAP3"
"728","STK17A"
"729","STK32C"
"730","STOX1"
"731","STX6"
"732","STXBP6"
"733","SUGT1"
"734","SV2A"
"735","SYCE1L"
"736","SYS1"
"737","SYT10"
"738","SYT12"
"739","SYT5"
"740","SYT7"
"741","SYT8"
"742","TAF9B"
"743","TAS2R41"
"744","TAS2R60"
"745","TBC1D10A"
"746","TBC1D4"
"747","TBL1X"
"748","TCEAL1"
"749","TCHHL1"
"750","TCN1"
"751","TEP1"
"752","TEX261"
"753","TFAP2D"
"754","TFEB"
"755","TFPI2"
"756","TGFA"
"757","TGFBR3"
"758","TGIF2LY"
"759","TGIF2"
"760","THAP2"
"761","THBD"
"762","THEG"
"763","THSD1"
"764","THSD4"
"765","THSD7B"
"766","TH"
"767","TINAGL1"
"768","TLL2"
"769","TMEM170B"
"770","TMEM217"
"771","TMEM45A"
"772","TMEM51"
"773","TMEM56"
"774","TMEM91"
"775","TMEM92"
"776","TMEM98"
"777","TMPRSS6"
"778","TMSB10"
"779","TNFRSF10B"
"780","TNFRSF10D"
"781","TNFRSF11A"
"782","TNFRSF12A"
"783","TNFRSF13C"
"784","TNFRSF1A"
"785","TNFRSF6B"
"786","TNIP2"
"787","TNNT1"
"788","TNRC6C"
"789","TOP2B"
"790","TPCN1"
"791","TPD52L2"
"792","TPRG1"
"793","TRAF3IP2"
"794","TRAK1"
"795","TRIM2"
"796","TRIM47"
"797","TRIM49L"
"798","TRIM49"
"799","TRIM53"
"800","TRIM60"
"801","TRIM6"
"802","TRIML2"
"803","TRMT2B"
"804","TSPAN10"
"805","TTC28"
"806","TTTY14"
"807","TUBA4A"
"808","TUBB2B"
"809","TUBB3"
"810","TXNL1"
"811","UBE2F"
"812","UBE2V1"
"813","UBP1"
"814","UBXN4"
"815","UCP1"
"816","UGP2"
"817","ULBP2"
"818","UNC119"
"819","UPP1"
"820","USP11"
"821","USP2"
"822","UTY"
"823","VASP"
"824","VAV2"
"825","VENTX"
"826","VEZF1"
"827","WDR91"
"828","WDSUB1"
"829","WFDC8"
"830","WIF1"
"831","WNK2"
"832","WNT7A"
"833","XDH"
"834","XG"
"835","ZBED2"
"836","ZBED3"
"837","ZC3H10"
"838","ZC3H12A"
"839","ZCCHC12"
"840","ZDHHC22"
"841","ZFP42"
"842","ZFR2"
"843","ZFY"
"844","ZMAT4"
"845","ZNF217"
"846","ZNF238"
"847","ZNF24"
"848","ZNF479"
"849","ZNF487"
"850","ZNF512"
"851","ZNF664"
"852","ZP1"
"853","ZSCAN4"
"854","psiTPTE22"
