"","x"
"321","NUDT22"
"322","NUFIP2"
"323","NUP188"
"324","NUP205"
"325","NUP98"
"326","NYNRIN"
"327","OGFRL1"
"328","OR5A2"
"329","OR8S1"
"330","OSBPL6"
"331","OSTF1"
"332","OTUD6A"
"333","OXCT2"
"334","PADI3"
"335","PAIP2"
"336","PBLD"
"337","PBX3"
"338","PCP4L1"
"339","PCSK1"
"340","PDCL"
"341","PDE6D"
"342","PDE8A"
"343","PECR"
"344","PELO"
"345","PF4V1"
"346","PHF15"
"347","PHF19"
"348","PHF2"
"349","PIK3C2A"
"350","PKIB"
"351","PLAA"
"352","PLCH2"
"353","PLEKHG7"
"354","PLS3"
"355","PLXNB2"
"356","PNLDC1"
"357","POLD4"
"358","POLE3"
"359","PPP6C"
"360","PPTC7"
"361","PRDX5"
"362","PRMT2"
"363","PRPF40A"
"364","PRPF4"
"365","PRRG2"
"366","PRSS12"
"367","PRSS8"
"368","PSAT1"
"369","PSG8"
"370","PSMA1"
"371","PSMB7"
"372","PSMD5"
"373","PTAR1"
"374","PTPDC1"
"375","PTPN11"
"376","PTPN3"
"377","PURA"
"378","PUS10"
"379","PWWP2B"
"380","PYROXD2"
"381","RAB13"
"382","RAB14"
"383","RAB3GAP1"
"384","RAB5C"
"385","RAB9B"
"386","RABEPK"
"387","RABGAP1"
"388","RAD23B"
"389","RAD50"
"390","RAD54L2"
"391","RANBP2"
"392","RANBP6"
"393","RAPGEF6"
"394","RBM12"
"395","RBM18"
"396","RBM38"
"397","RC3H2"
"398","RELL1"
"399","RETSAT"
"400","RHBDL3"
"401","RIF1"
"402","RIMBP2"
"403","RMI1"
"404","RNF169"
"405","RNF183"
"406","RNF20"
"407","RNF25"
"408","ROBO3"
"409","ROCK2"
"410","ROD1"
"411","RPL12"
"412","RPL7A"
"413","RRM1"
"414","SALL3"
"415","SBNO1"
"416","SCMH1"
"417","SCN3B"
"418","SDF2L1"
"419","SEC61B"
"420","SECISBP2"
"421","SEPT10"
"422","SEPT14"
"423","SERF2"
"424","SERINC5"
"425","SESN2"
"426","SETX"
"427","SET"
"428","SFRS2IP"
"429","SGK196"
"430","SGSM3"
"431","SLC25A25"
"432","SLC30A4"
"433","SLC30A5"
"434","SLC31A1"
"435","SLC35C2"
"436","SLC35D2"
"437","SLC35F4"
"438","SLC36A1"
"439","SLC36A4"
"440","SLC44A1"
"441","SLC44A3"
"442","SLC9A11"
"443","SLFN5"
"444","SMAD4"
"445","SMAD6"
"446","SMC2"
"447","SMC5"
"448","SMCHD1"
"449","SNORA26"
"450","SNORA64"
"451","SNORA66"
"452","SNX30"
"453","SNX32"
"454","SP1"
"455","SP3"
"456","SPIN1"
"457","SPTA1"
"458","SPTLC1"
"459","SRD5A3"
"460","SS18"
"461","SSSCA1"
"462","ST14"
"463","ST6GALNAC1"
"464","STARD10"
"465","STIM2"
"466","STK25"
"467","STOML1"
"468","STRN"
"469","STX17"
"470","STYXL1"
"471","SUOX"
"472","SURF1"
"473","SYNRG"
"474","TAF7"
"475","TAOK1"
"476","TBC1D2"
"477","TDRD7"
"478","TEPP"
"479","TEX10"
"480","TFDP1"
"481","TGFBR1"
"482","TJP2"
"483","TLE1"
"484","TLE6"
"485","TMCO5A"
"486","TMEFF1"
"487","TMEM138"
"488","TMEM179B"
"489","TMEM203"
"490","TMEM38B"
"491","TMPRSS12"
"492","TNFAIP1"
"493","TOMM40L"
"494","TOR1A"
"495","TOR1B"
"496","TOX3"
"497","TRAF6"
"498","TRIM17"
"499","TRIM23"
"500","TRIM32"
"501","TRIM4"
"502","TRPM8"
"503","TSG101"
"504","TSHZ1"
"505","TSPYL5"
"506","TSTD2"
"507","TTLL11"
"508","TTYH2"
"509","TUBGCP3"
"510","UBE3B"
"511","UBE3C"
"512","UBLCP1"
"513","UBQLN1"
"514","UBQLN2"
"515","UGT3A1"
"516","UGT3A2"
"517","UNC119B"
"518","UPK2"
"519","UPK3A"
"520","UPK3B"
"521","URM1"
"522","USP12"
"523","VEZT"
"524","VPS13A"
"525","WASF3"
"526","WDR13"
"527","WDR31"
"528","WDR41"
"529","WEE1"
"530","WFDC3"
"531","XPA"
"532","XRN2"
"533","YAF2"
"534","YWHAQ"
"535","ZAK"
"536","ZBTB26"
"537","ZBTB34"
"538","ZBTB43"
"539","ZBTB6"
"540","ZCCHC2"
"541","ZCCHC6"
"542","ZER1"
"543","ZFAND5"
"544","ZFP37"
"545","ZFP91"
"546","ZFPL1"
"547","ZFYVE19"
"548","ZG16"
"549","ZMAT5"
"550","ZNF189"
"551","ZNF275"
"552","ZNF295"
"553","ZNF334"
"554","ZNF354C"
"555","ZNF362"
"556","ZNF367"
"557","ZNF441"
"558","ZNF442"
"559","ZNF462"
"560","ZNF483"
"561","ZNF484"
"562","ZNF510"
"563","ZNF608"
"564","ZNF618"
"565","ZNF619"
"566","ZNF782"
"567","ZNF791"
"568","ZNF79"
"569","ZNF800"
"570","ZNF828"
"571","ZSCAN2"
