"","x"
"317","C15orf27"
"318","C15orf33"
"319","C15orf34"
"320","C15orf37"
"321","C15orf41"
"322","C15orf48"
"323","C15orf53"
"324","C15orf57"
"325","C16orf46"
"326","C16orf52"
"327","C16orf54"
"328","C16orf55"
"329","C16orf74"
"330","C16orf86"
"331","C16orf88"
"332","C17orf100"
"333","C17orf107"
"334","C17orf44"
"335","C17orf60"
"336","C17orf62"
"337","C17orf63"
"338","C17orf66"
"339","C17orf87"
"340","C17orf88"
"341","C18orf2"
"342","C18orf32"
"343","C19orf10"
"344","C19orf26"
"345","C19orf35"
"346","C19orf38"
"347","C19orf77"
"348","C1QA"
"349","C1QB"
"350","C1QC"
"351","C1QL3"
"352","C1QL4"
"353","C1orf127"
"354","C1orf133"
"355","C1orf161"
"356","C1orf162"
"357","C1orf183"
"358","C1orf186"
"359","C1orf200"
"360","C1orf201"
"361","C1orf21"
"362","C1orf223"
"363","C1orf38"
"364","C1orf49"
"365","C1orf54"
"366","C1orf64"
"367","C1orf84"
"368","C1orf94"
"369","C20orf117"
"370","C20orf11"
"371","C20orf123"
"372","C20orf166"
"373","C20orf194"
"374","C20orf29"
"375","C20orf30"
"376","C20orf3"
"377","C20orf54"
"378","C20orf94"
"379","C21orf119"
"380","C21orf122"
"381","C21orf54"
"382","C22orf23"
"383","C22orf24"
"384","C22orf25"
"385","C22orf27"
"386","C22orf29"
"387","C22orf30"
"388","C22orf36"
"389","C22orf39"
"390","C22orf46"
"391","C22orf9"
"392","C2CD4A"
"393","C2orf16"
"394","C2orf34"
"395","C2orf51"
"396","C2orf61"
"397","C2orf67"
"398","C2orf76"
"399","C2orf80"
"400","C2orf85"
"401","C2orf88"
"402","C2orf89"
"403","C2"
"404","C3AR1"
"405","C3orf10"
"406","C3orf63"
"407","C3orf65"
"408","C3orf66"
"409","C3orf67"
"410","C4orf10"
"411","C4orf12"
"412","C4orf35"
"413","C4orf36"
"414","C4orf42"
"415","C4orf50"
"416","C4orf7"
"417","C5AR1"
"418","C5orf15"
"419","C5orf20"
"420","C5orf38"
"421","C5orf39"
"422","C5orf40"
"423","C5orf41"
"424","C5orf42"
"425","C5orf55"
"426","C5orf56"
"427","C5orf58"
"428","C6orf120"
"429","C6orf123"
"430","C6orf132"
"431","C6orf170"
"432","C6orf176"
"433","C6orf191"
"434","C6orf25"
"435","C6orf35"
"436","C6orf41"
"437","C7orf23"
"438","C7orf29"
"439","C7orf51"
"440","C7orf58"
"441","C7orf68"
"442","C7orf71"
"443","C8orf56"
"444","C8orf80"
"445","C9orf119"
"446","C9orf139"
"447","C9orf46"
"448","C9orf66"
"449","C9"
"450","CA12"
"451","CA14"
"452","CA5A"
"453","CA7"
"454","CABP7"
"455","CACHD1"
"456","CACNA2D4"
"457","CACNB3"
"458","CADM3"
"459","CAD"
"460","CALCOCO2"
"461","CALHM2"
"462","CALM3"
"463","CALY"
"464","CAMK1"
"465","CAMK2B"
"466","CAMK2N2"
"467","CAMK4"
"468","CAMP"
"469","CAPG"
"470","CARD16"
"471","CARD8"
"472","CARD9"
"473","CARTPT"
"474","CASKIN1"
"475","CASKIN2"
"476","CASK"
